ref_o,doi_o,study_o,year_o,ref_r,doi_r,url_r,study_r,abstract_r,year_r,outcome,outcome_quote,out_quote_source,type,quote_validated,quote_similarity,pathway_source,validation_status,readiness_level,multi_target,flora_match_type,original_source,prep_notes,match_status,match_method,match_confidence
,,,,"Rizzi, T. S., Arias‐Vasquez, A., Rommelse, N., Kuntsi, J., Anney, R., Asherson, P., Buitelaar, J., Banaschewski, T., Ebstein, R., Ruano, D., Van der Sluis, S., Markunas, C. A., Garrett, M. E., Ashley‐Koch, A. E., Kollins, S. H., Anastopoulos, A. D., Hansell, N. K., Wright, M. J., Montgomery, G. W., … Posthuma, D. (2010). The ATXN1 and TRIM31 genes are related to intelligence in an ADHD background: Evidence from a large collaborative study totaling 4,963 Subjects. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 156(2), 145–157. Portico. https://doi.org/10.1002/ajmg.b.31149",10.1002/ajmg.b.31149,https://doi.org/10.1002/ajmg.b.31149,"The <i>ATXN1</i> and <i>TRIM31</i> genes are related to intelligence in an ADHD background: Evidence from a large collaborative study totaling 4,963 Subjects","Intelligence is a highly heritable trait for which it has proven difficult to identify the actual genes. In the past decade, five whole-genome linkage scans have suggested genomic regions important to human intelligence; however, so far none of the responsible genes or variants in those regions have been identified. Apart from these regions, a handful of candidate genes have been identified, although most of these are in need of replication. The recent growth in publicly available data sets that contain both whole genome association data and a wealth of phenotypic data, serves as an excellent resource for fine mapping and candidate gene replication. We used the publicly available data of 947 families participating in the International Multi-Centre ADHD Genetics (IMAGE) study to conduct an in silico fine mapping study of previously associated genomic locations, and to attempt replication of previously reported candidate genes for intelligence. Although this sample was ascertained for attention deficit/hyperactivity disorder (ADHD), intelligence quotient (IQ) scores were distributed normally. We tested 667 single nucleotide polymorphisms (SNPs) within 15 previously reported candidate genes for intelligence and 29451 SNPs in five genomic loci previously identified through whole genome linkage and association analyses. Significant SNPs were tested in four independent samples (4,357 subjects), one ascertained for ADHD, and three population-based samples. Associations between intelligence and SNPs in the ATXN1 and TRIM31 genes and in three genomic locations showed replicated association, but only in the samples ascertained for ADHD, suggesting that these genetic variants become particularly relevant to IQ on the background of a psychiatric disorder.",2010.0,mixed,"Associations between intelligence and SNPs in the ATXN1 and TRIM31 genes and in three genomic locations showed replicated association, but only in the samples ascertained for ADHD,",abstract,replication,True,1.0,openalex,llm_confirmed,2,True,,,"openalex: The abstract states the authors attempted replication of previously reported candidate genes and linkage loci (15 genes and five genomic regions) using publicly available datasets (IMAGE and four independent samples), so this is a multi-study replication using new/independent data rather than a reanalysis of the original data. | The study reports replicated associations for ATXN1, TRIM31 and three loci, but these replications occurred only in ADHD-ascertained samples and not in the population-based samples, indicating a partial/context-dependent replication. [outcome_confidence: high]",unmatched,,
,,,,"Chen‐Plotkin, A. S., Hu, W. T., Siderowf, A., Weintraub, D., Goldmann Gross, R., Hurtig, H. I., Xie, S. X., Arnold, S. E., Grossman, M., Clark, C. M., Shaw, L. M., McCluskey, L., Elman, L., Van Deerlin, V. M., Lee, V. M. ‐Y., Soares, H., & Trojanowski, J. Q. (2010). Plasma epidermal growth factor levels predict cognitive decline in Parkinson disease. Annals of Neurology, 69(4), 655–663. Portico. https://doi.org/10.1002/ana.22271",10.1002/ana.22271,https://doi.org/10.1002/ana.22271,Plasma epidermal growth factor levels predict cognitive decline in Parkinson disease,"Abstract Objective Most people with Parkinson disease (PD) eventually develop cognitive impairment (CI). However, neither the timing of onset nor the severity of cognitive symptoms can be accurately predicted. We sought plasma‐based biomarkers for CI in PD. Methods A discovery cohort of 70 PD patients was recruited. Cognitive status was evaluated with the Mattis Dementia Rating Scale‐2 (DRS) at baseline and on annual follow‐up visits, and baseline plasma levels of 102 proteins were determined with a bead‐based immunoassay. Using linear regression, we identified biomarkers of CI in PD, that is, proteins whose levels correlated with cognitive performance at baseline and/or cognitive decline at follow‐up. We then replicated the association between cognitive performance and levels of the top biomarker, using a different technical platform, with a separate cohort of 113 PD patients. Results Eleven proteins exhibited plasma levels correlating with baseline cognitive performance in the discovery cohort. The best candidate was epidermal growth factor (EGF, p &lt; 0.001); many of the other 10 analytes covaried with EGF across samples. Low levels of EGF not only correlated with poor cognitive test scores at baseline, but also predicted an 8‐fold greater risk of cognitive decline to dementia‐range DRS scores at follow‐up for those with intact baseline cognition. A weaker, but still significant, relationship between plasma EGF levels and cognitive performance was found in an independent replication cohort of 113 PD patients. Interpretation Our data suggest that plasma EGF may be a biomarker for progression to CI in PD. Ann Neurol 2010",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"Walton, T., Zhang, W., Li, L., Tam, C. P., & Szostak, J. W. (2019). The Mechanism of Nonenzymatic Template Copying with Imidazole‐Activated Nucleotides. Angewandte Chemie, 131(32), 10926–10933. Portico. https://doi.org/10.1002/ange.201902050",10.1002/ange.201902050,https://doi.org/10.1002/ange.201902050,The Mechanism of Nonenzymatic Template Copying with Imidazole‐Activated Nucleotides,"Abstract The emergence of the replication of RNA oligonucleotides was a critical step in the origin of life. An important model for the study of nonenzymatic template copying, which would be a key part of any such pathway, involves the reaction of ribonucleoside‐5′‐phosphorimidazolides with an RNA primer/template complex. The mechanism by which the primer becomes extended by one nucleotide was assumed to be a classical in‐line nucleophilic‐substitution reaction in which the 3′‐hydroxyl of the primer attacks the phosphate of the incoming activated monomer with displacement of the imidazole leaving group. Surprisingly, this simple model has turned out to be incorrect, and the dominant pathway has now been shown to involve the reaction of two activated nucleotides with each other to form a 5′–5′‐imidazolium bridged dinucleotide intermediate. Here we review the discovery of this unexpected intermediate, and the chemical, kinetic, and structural evidence for its role in template copying chemistry.",2019.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The abstract describes a review of the discovery and the chemical/kinetic/structural evidence for an intermediate in nonenzymatic template copying, not the collection of new data or reanalysis of original datasets. It is a review article rather than a replication or reproduction study.",unmatched,,
,,,,Leveau et al. (2022). Enzyme‐Free Copying of 12 Bases of RNA with Dinucleotides. Angewandte Chemie.,10.1002/ange.202203067,https://doi.org/10.1002/ange.202203067,Enzyme‐Free Copying of 12 Bases of RNA with Dinucleotides,"Abstract The synthesis of complementary strands is the reaction underlying the replication of genetic information. It is likely that the earliest self‐replicating systems used RNA as genetic material. How RNA was copied in the absence of enzymes and what sequences were most likely to have supported replication is not clear. Here we show that mixtures of dinucleotides with C and G as bases copy an RNA sequence of up to 12 nucleotides in dilute aqueous solution. Successful enzyme‐free copying occurred with in situ activation at 4 °C and pH 6.0. Dimers were incorporated in favor of monomers when both competed as reactants, and little misincorporation was detectable in mass spectra. Simulations using experimental rate constants confirmed that mixed C/G sequences are good candidates for successful replication with dimers. Because dimers are intermediates in the synthesis of longer strands, our results support evolutionary scenarios encompassing formation and copying of RNA strands in enzyme‐free fashion.",2022.0,,,,,,,openalex,false_positive,7,True,,,openalex: This paper reports original experimental results on enzyme-free RNA copying (dinucleotide incorporation) and does not describe reanalysis of prior data or an attempt to replicate a specific earlier study. It presents new experiments and simulations rather than reproducing or replicating another paper's findings.,unmatched,,
,,,,"Konerding, M. A., Turhan, A., Ravnic, D. J., Lin, M., Fuchs, C., Secomb, T. W., Tsuda, A., & Mentzer, S. J. (2010). Inflammation‐Induced Intussusceptive Angiogenesis in Murine Colitis. The Anatomical Record, 293(5), 849–857. Portico. https://doi.org/10.1002/ar.21110",10.1002/ar.21110,https://doi.org/10.1002/ar.21110,Inflammation‐Induced Intussusceptive Angiogenesis in Murine Colitis,"Intussusceptive angiogenesis is a morphogenetic process that forms new blood vessels by the division of a single blood vessel into two lumens. Here, we show that this process of intraluminal division participates in the inflammation-induced neovascularization associated with chemically induced murine colitis. In studies of both acute (4-7 days) and chronic (28-31 days) colitis, intravital microscopy of intravascular tracers demonstrated a twofold reduction in blood flow velocity. In the acute colitis model, the decreased velocity was associated with marked dilatation of the mucosal plexus. In contrast, chronic inflammation was associated with normal caliber vessels and duplication (and triplication) of the quasi-polygonal mucosal plexus. Scanning electron microscopy (SEM) of intravascular corrosion casts suggested that pillar formation and septation, previously linked to the morphogenetic process of intussusceptive angiogenesis, were present within days of the onset of inflammation. Four weeks after the onset of inflammation, SEM of vascular corrosion casts demonstrated replication of the mucosal plexus without significant evidence of sprouting angiogenesis. These data suggest that mucosal capillaries have comparable aggregate cross-sectional area in acute and chronic colitis; however, there is a significant increase in functional capillary density in chronic colitis. We conclude that intussusceptive angiogenesis is a fundamental mechanism of microvascular adaptation to prolonged inflammation.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The title and abstract describe primary experimental findings from murine colitis models (intravital microscopy, SEM, corrosion casts) and do not state that they are reanalyzing prior data or attempting to reproduce/replicate a specific previous study. This is original research on angiogenesis, not a replication/reproduction study.",unmatched,,
,,,,"Hamad, N. S., Al‐Haidery, N. H., Al‐Masoudi, I. A., Sabri, M., Sabri, L., & Al‐Masoudi, N. A. (2010). Amino Acid Derivatives, Part 4: Synthesis and Anti‐HIV Activity of New Naphthalene Derivatives. Archiv Der Pharmazie, 343(7), 397–403. Portico. https://doi.org/10.1002/ardp.200900293",10.1002/ardp.200900293,https://doi.org/10.1002/ardp.200900293,"Amino Acid Derivatives, Part 4: Synthesis and Anti‐HIV Activity of New Naphthalene Derivatives","A new series of 2-(naphthalen-2-yloxy)-N-[(aryl-5-thioxo-4,5-dihydro-1H-1,2,4-triazol-3-yl)methyl] acetamides 5a-f was synthesized from naphthalene-derived glycine derivative 2 via the hydrazinoacetamide analogs 4a-f. Alternatively, treatment of 4a with H(2)SO(4) afforded 2-(naphthalen-2-yloxy)-N-((5-(phenylamino)-1,3,4-thiadiazol-2-yl)methyl) acetamide 6a. Alkylation or sulphonylation of 5a afforded the S-alkylated derivatives 7 and 8, respectively. Interestingly, treatment of 3 with methoxide ion gave the triazine derivative 9. The synthesized compounds have been screened for their inhibitory activity against HIV-1 and HIV-2 in MT-4 cells. However, 7 was found to be the potent inhibitor in vitro for the replication of HIV-1 (EC(50 )= 0.20 microg/mL), suggesting a new lead in the development of an antiviral agent.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper reports synthesis of new compounds and screening for anti-HIV activity, i.e., original experimental work describing discovery of a potent inhibitor. It does not state that it is reanalyzing previous data or attempting to replicate a prior study's results.",unmatched,,
,,,,"Chen, D., Liu, Y., Zhang, S., Guo, D., Liu, C., Li, S., & Gong, P. (2010). Synthesis and in‐vitro Anti‐hepatitis B Virus Activity of Ethyl 6‐Bromo‐8‐hydroxyimidazo[1,2‐a]pyridine‐3‐carboxylates. Archiv Der Pharmazie, 344(3), 158–164. Portico. https://doi.org/10.1002/ardp.201000045",10.1002/ardp.201000045,https://doi.org/10.1002/ardp.201000045,"Synthesis and <i>in‐vitro</i> Anti‐hepatitis B Virus Activity of Ethyl 6‐Bromo‐8‐hydroxyimidazo[1,2‐<i>a</i>]pyridine‐3‐carboxylates","A series of ethyl 6-bromo-8-hydroxyimidazo[1,2-a]pyridine-3-carboxylate derivatives were synthesized and evaluated for their anti-hepatitis B virus (HBV) activity and cytotoxicity in HepG2.2.15 cells. Nearly half of the tested compounds were proved to be highly effective in inhibiting the replication of HBV DNA with IC(50) values ranging from 1.3 to 9.1 µM. Among them, 10o and 10s were identified as the most promising compounds.",2010.0,,,,,,,openalex,false_positive,7,True,,,openalex: This is an original medicinal chemistry/in vitro study reporting synthesis and antiviral testing of novel compounds in HepG2.2.15 cells; it does not state that it is reanalyzing or attempting to replicate any prior specific study.,unmatched,,
,,,,"Perdigones, N., Vigo, A. G., Lamas, J. R., Martínez, A., Balsa, A., Pascual‐Salcedo, D., de la Concha, E. G., Fernández‐Gutiérrez, B., & Urcelay, E. (2010). Evidence of epistasis between TNFRSF14 and TNFRSF6B polymorphisms in patients with rheumatoid arthritis. Arthritis &amp; Rheumatism, 62(3), 705–710. Portico. https://doi.org/10.1002/art.27292",10.1002/art.27292,https://doi.org/10.1002/art.27292,Evidence of epistasis between <i>TNFRSF14</i> and <i>TNFRSF6B</i> polymorphisms in patients with rheumatoid arthritis,"Abstract Objective Genetic variants located close to 2 genes codifying for members of the tumor necrosis factor receptor superfamily (TNFRSF), TNFRSF14 and TNFRSF6B , have recently been associated with rheumatoid arthritis (RA) and with inflammatory bowel disease susceptibility, respectively. The TNFRSF6B protein has been related to osteoclastic activity, apoptosis inhibition, and modulation of T cell activation and differentiation. Interestingly, peptides encoded by both genes bind a common ligand called LIGHT, which is overexpressed in RA synovium. The aim of this study was to investigate the combined effect of the TNFRSF14 rs6684865 and TNFRSF6B rs4809330 polymorphisms in RA predisposition. Methods TaqMan genotyping of these polymorphisms was conducted in 649 patients with RA and 553 ethnically matched control subjects (first study). To validate the results, an independent replication cohort with 211 patients and 255 control subjects was additionally studied (replication study). Results The frequency of the rs6684865 G allele in the RA subgroup with the rs4809330 GG susceptibility genotype was significantly higher than that in the other patients with RA (74% versus 65%; P = 0.002) or in control subjects (74% versus 67%; P = 0.003). Because no significant differences between the control and patient groups in the first and replication studies were observed, the data were pooled. When compared with control subjects overall, the effect of the rs6684865 G allele in the group with the rs4809330 GG genotype (odds ratio [OR] 1.49) was significantly different from the effect observed in the group carrying the rs4809330 A allele (OR 0.97; P = 0.0015 by Breslow‐Day test of homogeneity). Conclusion We have identified and replicated a novel gene–gene interaction between 2 polymorphisms of TNFRSF members in Spanish patients with RA, based on the hypothesis of shared pathogenic pathways in complex diseases.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This paper reports an original genetic association analysis and includes an independent internal replication cohort to validate the authors' own findings; it does not attempt to replicate or reanalyze a previously published, external study.",unmatched,,
,,,,"Hilton, D., Régner, I., Cabantous, L., Charalambides, L., & Vautier, S. (2011). Do positive illusions predict overconfidence in judgment? A test using interval production and probability evaluation measures of miscalibration. Journal of Behavioral Decision Making, 24(2), 117–139. Portico. https://doi.org/10.1002/bdm.678",10.1002/bdm.678,https://doi.org/10.1002/bdm.678,Do positive illusions predict overconfidence in judgment? A test using interval production and probability evaluation measures of miscalibration,"Abstract We address the question as to whether judgmental overconfidence, as assessed by probability miscalibration, is related to positive illusions about the self. We first demonstrate that judgmental overconfidence measured with interval production procedures can be considered a trait, due to correlations observed in miscalibration scores in two sets of general‐knowledge questions of varying difficulty administered at different times. In addition, the hard‐easy effect operated in different ways on overprecision and self‐placement of one's performance relative to others: The more difficult the calibration task, the greater the over precision but the greater the under placement of one's performance. Finally, there was no evidence that miscalibration was related to dispositional optimism and self‐efficacy. A second study extended these results by including further measures of disposition to experience positive illusions such as unrealistic optimism, a general tendency to consider oneself “better‐than‐average,” and two indexes of dispositional perception of control. The positive illusion measures showed considerable inter‐correlations, but did not correlate with miscalibration on the interval production task, and correlated negatively with optimism concerning societal risks. A final study replicated this pattern of findings, but showed that disposition to positive illusions did predict miscalibration on the same questions measured with a probability evaluation technique. Our research demonstrates that “overconfidence” is not a unitary construct, but a series of overlapping ones. Copyright © 2010 John Wiley &amp; Sons, Ltd.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper reports original empirical work (three internal studies) investigating the relation between positive illusions and overconfidence; it does not claim to replicate or reanalyze a prior external study. The term 'replicated this pattern' refers to an internal replication within the article, not a replication of another author's study.",unmatched,,
,,,,"Herrick, J. (2010). The dynamic replicon: adapting to a changing cellular environment. BioEssays, 32(2), 153–164. Portico. https://doi.org/10.1002/bies.200900129",10.1002/bies.200900129,https://doi.org/10.1002/bies.200900129,The dynamic replicon: adapting to a changing cellular environment,"Eukaryotic cells are often exposed to fluctuations in growth conditions as well as endogenous and exogenous stress-related agents. During development, global patterns of gene transcription change substantially, and these changes are associated with altered patterns of DNA replication and larger distances between replication origins in somatic cells compared to embryos. Conversely, when cells experience difficulties while replicating DNA, the replication program is dramatically altered and distances between replication origins decrease. Recent evidence indicates that each unit of replication, or replicon, can correspond to one or more potential replication origins, but in the case of multiple potential origins, only one is selected to initiate replication of the replicon. How one origin is selected from multiple potential origins and how origin densities are regulated during genome duplication remains unclear. The following review addresses some of the mechanisms involved in regulating replication origins during both a normal and perturbed eukaryotic cell cycle.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is a review article discussing mechanisms of DNA replication and origin regulation, not an empirical replication or a reanalysis of a specific prior study. The abstract describes a literature review rather than collecting new data or reproducing analyses of a particular paper.",unmatched,,
,,,,"Ortiz Mellet, C., Benito, J. M., & García Fernández, J. M. (2010). Preorganized, Macromolecular, Gene‐Delivery Systems. Chemistry – A European Journal, 16(23), 6728–6742. Portico. https://doi.org/10.1002/chem.201000076",10.1002/chem.201000076,https://doi.org/10.1002/chem.201000076,"Preorganized, Macromolecular, Gene‐Delivery Systems","Abstract Viruses represent a paradigmatic example of multicomponent, self‐organized supramolecular systems specialized in the delivery and replication of their genetic material. Mimicking their functioning by artificial synthetic molecules represents a fantastic challenge that will lead to the future development of gene therapy. This is only possible if general approaches towards the construction of nanoscale vehicles for DNA are developed and the key rules governing their capacity to compact genetic material and its active transport/delivery through cell membranes are understood. In this area of research, synthetic organic chemistry plays an important role by providing tools to create tailor‐made molecules of increasing complexity. Preorganization of functional elements onto macromolecular platforms has the potential to allow control of the self‐assembling behavior of discrete architectures to produce nanometric objects that can be programmed to complex, compact, deliver, and release plasmid DNA in a target cell.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"Bell, T. W. (2010). Drugs for Hepatitis C: Unlocking a New Mechanism of Action. ChemMedChem, 5(10), 1663–1665. Portico. https://doi.org/10.1002/cmdc.201000334",10.1002/cmdc.201000334,https://doi.org/10.1002/cmdc.201000334,Drugs for Hepatitis C: Unlocking a New Mechanism of Action,"The key to unlocking the secret? The nonstructural protein NS5A has no known enzymatic function, but it is essential for hepatitis C virus (HCV) replication and has been proposed to function as a regulator for key replication events. The first clinically validated NS5A inhibitor, developed via chemical genetics screens with HCV replicons, was recently described and this work is highlighted here. The hepatitis C virus (HCV) infects approximately 200 million people worldwide (∼3 % of the population), including 4–5 million in the United States. Most are unaware of HCV infections that have not advanced enough to produce liver disease (cirrhosis or liver cancer). Approximately 12 000 Americans are estimated to die from this virus each year. Current treatment, consisting of pegylated interferon-α (PEG-IFN-α) plus the nucleoside antiviral drug ribavirin, is ineffective in more than 50 % of patients infected with genotype 1 HCV. This is the most aggressive and common strain in the Americas, Europe, Japan and China. Unfortunately, the conventional therapy is accompanied by poorly tolerated side effects. These facts have led to aggressive competition between pharmaceutical companies striving to develop new, more effective anti-HCV drugs.1–3 Hepatitus C is an enveloped virus with a 9.6 kb RNA genome that encodes a polyprotein consisting of about 3 000 amino acids. Cellular and viral proteases process this polyprotein into several structural proteins, plus several nonstructural proteins. The latter are designated NS2, NS3, NS4A, NS4B, NS5A and NS5B. NS2 and NS3 exhibit protease activity, and NS4A acts as a cofactor for NS3. NS4B induces changes in cellular membranes that are important for viral replication, while NS5B catalyses RNA synthesis. NS5A has no known enzymatic function, but it is essential for HCV replication and has been proposed to function as a regulator for key replication events.3 Over the last several years, drug companies have mainly focused on inhibiting the protease function of NS3 or the RNA polymerase activity of NS5B. Several such drugs are now in clinical trials, with two (Vertex's telaprevir and Merck's boceprevir) in phase III clinical trials at the time of this writing. According to a May 2010 press release,4 telaprevir produced a sustained viral response in 75 % of patients, reducing the patient's viral load to below detectible levels. This is excellent news, but it does not greatly affect the need for new anti-HCV drugs operating by other mechanisms. Like many other viruses, HCV mutates rapidly, so it is expected that combinations of drugs will be needed to prevent and manage drug resistance, with the eventual aim of eradicating the virus. Traditionally, medicines were discovered by empirical testing, first of natural products derived from plants, later of dyes derived from coal tar or synthesized in the laboratory. Ehrlich's “magic bullet” hypothesis, stating that every drug has a specific “receptor” (e.g., enzyme or receptor protein) that is responsible for its effect, eventually changed the focus of drug research. Investigators began to look for small organic molecules that could selectively interact with specific proteins that are important in disease processes. By the late twentieth century, genetic screens were used to identify protein function in many organisms. This involves randomly producing mutations in cells, screening the resulting mutants to generate a characteristic of interest, and identifying the corresponding mutations in specific genes. By the end of the twentieth century, an alternate approach called “chemical genetics” was developed and applied to the discovery of new drugs.5 Chemical genetics, in the same “forward” sense as the classical genetic screen just described, involves screening libraries of small organic molecules in cells, selecting a compound that produces the phenotype of interest, and identifying the corresponding protein target. The process of discovery and development of antiviral drugs faces unique challenges.6 Viruses do not replicate outside the host cell, so drugs that inhibit viral replication must exploit subtle biological differences between virus-infected cells and normal, uninfected cells. Certain proteins and processes native to the host cell can enable virion entry, replication of viral constituents, or budding of nascent virus particles; hence, they are included as potential targets for antiviral drugs. In order to avoid toxicity and various side effects, the drug industry has traditionally tried to achieve high potency and selectivity against proteins that are characteristic of the virus, not of the host cell. New drug leads are typically discovered by screening compounds for inhibition of specific viral proteins in vitro, or by screening compounds for inhibition of viral replication in cells. The latter method, which resembles the chemical genetics approach, is broader than specifically targeted screens because compounds that inhibit replication by any mechanism can be discovered, including inhibitors of viral entry or budding of nascent virions (for screens conducted in cell cultures). The dream of in silico drug design has only been realized for one class of drugs: HIV protease inhibitors.7, 8 Historically, many drug companies have followed a conservative approach, developing new drugs that operate by the same mechanism as previously developed drugs. A drug target is fully validated by the existence of profitable drugs operating by this mechanism of action; such drugs are often potent, nontoxic, and produce minimal side effects. While more interesting scientifically, validation of novel drug targets is risky and very expensive, though also potentially more lucrative in the long run. Validation of new targets for antiviral drugs is particularly important because drugs operating by different mechanisms are usually synergistic and combination therapy delays the onset of resistant strains, which must simultaneously develop multisite mutations conferring resistance to more than one drug. A recent report of the first clinical validation of a novel NS5A inhibitor can accordingly be considered a breakthrough in anti-HCV drug research.9 Early in 2010, a team from Bristol–Myers Squibb reported the novel HCV NS5A inhibitors shown in Figure 1.10 These compounds were identified by means of a high-throughput screen that simultaneously measures inhibition of HCV replication, selectivity relative to a related virus (bovine viral diarrhea, BVDV), and cellular toxicity in a 96-well format.11 The HCV replication assay utilized human liver cells (Huh-7) transfected with HCV RNA comprising the portion of the viral genome encoding proteins including NS3 through NS5B.12 Intracellular replication of this HCV “replicon” was detected by measuring NS3 protease activity with a FRET assay employing a peptide substrate bearing two fluorescent labels.13 BVDV replication was also detected by fluorescence, measuring luciferase produced in Huh-7 cells transfected with RNA to produce a BVDV replicon containing the luciferase gene. Cytotoxicity was measured by a conventional method involving transformation of Alamar blue dye by cellular enzymes. By means of this screen, BMS-858 was identified as a novel anti-HCV lead. Initially, the concentration of BMS-858 producing 50 % inhibition of wild-type HCV replicon replication (EC50) was measured as 0.6–1.0 μM, with low cytotoxicity (CC50 >50 μM) and no detectible activity toward the BVDV replicon. A series of related compounds were then synthesized and screened, revealing BMS-824 with an EC50 value of 5 nM against the wild-type HCV replicon. Remarkably, removal of just one atom from the structure of BMS-858 results in a more than 100-fold increase in potency. Structures of previously identified anti-HCV NS5A inhibitors.10 The HCV replicon system12 provided the first reliable, cell-based model for HCV replication and enabled the development of high-throughput screens for anti-HCV drugs. Detecting intracellular replication of a portion of the HCV genome has powerful advantages for drug discovery, relative to assays involving specific HCV proteins. By this means, drugs operating by a broader range of mechanisms can be found, including drugs that interact with viral proteins that do not have (or have unknown) enzymatic activity. While the method has been described as “mechanistically unbiased”,9 in actuality, it is restricted to processes related to intracellular replication and cannot detect potential drugs that might be able to inhibit binding/entry of the virus to host cells, or formation/budding of infectious virus particles. In the case at hand, the target of the BMS-858/824 series was identified as the HCV protein NS5A by characterizing mutations in drug-resistant replicons.10 The replicon cell system then became a useful tool for investigating interactions between NS5A and the drugs, enabling testing with single-site mutants and various HCV genotypes. Because of differences in the amino acid composition of the NS5A protein, BMS-824 was found to be far less potent against the genotype 1a HCV replicon than against genotype 1b, as shown in Table 1. Further analogue studies unveiled the symmetrical compound BMS-665, which has similar potency against genotype 1b as BMS-824, but also has significant ability to inhibit genotype 1a replication (Table 1). EC50 [nM] genotype 1b (strain=Con1) genotype 1a (strain=H77) BMS-824[a] 18 >10 000 BMS-665[a] 11 393 BMS-790052[b] 0.009 0.050 In May 2010, a more potent inhibitor of HCV NS5A was reported, namely BMS-790052.9 The structure of this drug is shown in Figure 2 along with those of two analogues (1 and 2), which were used to confirm the mechanism of action. As can be seen in Table 1, BMS-790052 inhibits replication of both HCV replicon genotypes with EC50 values in the range of 9–50 pM. This drug is also active against several other HCV replicon genotypes and has a therapeutic index (CC50/EC50) of at least 100 000 in vitro. Despite having a molecular weight of more than 700 g mol−1, BMS-790052 is orally bioavailable and distributes effectively into the liver. It displays additive-to-synergistic effects with other anti-HCV drugs, and it has advanced into clinical trials. Biotin-conjugated drugs 1 and 2, which bear a much closer structural relationship to BMS-665, were reported in the same publication as BMS-790052.9 Compound 1, with the same S,S-proline configuration as BMS-665, inhibited replication of the genotype 1b HCV replicon with an EC50 value of 33 nM, while the R,R-enantiomer (2) was inactive. These two biotinylated compounds were added to separate flasks of HCV 1b replicon cells and their lysates were treated with streptavidin-agarose beads to isolate bound proteins, which were analyzed by gel electophoresis and immunoblotting. Compound 1 was found to bind HCV protein NS5A in this experiment, while inactive control compound 2 did not. Structures of an anti-HCV NS5A inhibitor in clinical trials (BMS-790052) and biotin conjugates 1 and 2.9 NS5A is a 447 amino acid protein that apparently dimerizes by self-association of domain I at the N terminus. The series of drugs described here clearly bind to domain I of NS5A, according to observed mutations in drug-resistant HCV replicon strains. The symmetrical (pallindromic) structures of many of these drugs suggest that they bind across the dimer interface at the site of symmetry of the protein aggregate. This is reminiscent of the interaction of inhibitors with HIV protease, which is smaller (only 99 amino acids) but also dimerizes, with its active site pierced by the axis of symmetry of the assembly.7, 8 Chemists designed a number of C2-symmetric molecules as HIV protease inhibitors, reasoning that affinity could be maximized by matching the symmetry of a drug with that of its receptor. Early observations of rapid onset of drug resistance led to the concern that this approach had a serious weakness: single-site mutation in a homodimer would weaken drug–receptor interaction at two sites, rather than one. Only non-C2-symmetric compounds eventually became viable anti-HIV protease inhibitors, but it is not clear whether rapid onset of resistance was really a practical limitation of the symmetrical candidates. On the other hand, low aqueous solubility and poor bioavailability have been associated with symmetry in some HIV protease inhibitors.14 It would be very interesting to know in the case of the BMS NS5A inhibitors what is the influence of molecular symmetry on solubility, bioavailability, and onset of drug resistance. This drug discovery program aimed at inhibitors of HCV NS5A is certainly an excellent example of increased willingness of drug companies to invest in higher risk efforts to validate new targets. Other HCV NS5A inhibitors have been reported,15, 16 but BMS-790052 is apparently the most advanced in the clinic. The method of its development—employing high-throughput screening of drug libraries in cell-based replicon assays—is also significant as a model for others to follow in the discovery of drugs operating by unconventional mechanisms. This is a powerful demonstration of the utility of chemical genetics in drug discovery, though some important questions remain unanswered. For example, the exact manner in which the BMS compounds interact with HCV NS5A has not been described. One can hope that this question will be answered soon, perhaps through the X-ray structure of NS5A domain I bound to one of these drugs. Also, NS5A is known to be essential in HCV replication, but its exact role remains undiscovered. Again, a potent NS5A inhibitor, such as BMS-790052, may be the key to unlocking this secret.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The title and abstract indicate a review/highlight/commentary about NS5A inhibitors and HCV drug development, describing prior work rather than reanalyzing data or collecting new data to test a prior study. No language suggests a replication or reproduction attempt.",unmatched,,
